hjd mag mag_err
2455648.86551 15.921 0.005
2455648.91085 15.912 0.005
2455649.76439 15.92 0.005
2455649.80637 15.922 0.005
2455649.87079 15.916 0.005
2455649.90902 15.916 0.005
2455650.75617 15.911 0.005
2455650.81866 15.917 0.004
2455650.86276 15.919 0.005
2455650.91163 15.911 0.005
2455651.77677 15.918 0.005
2455651.81982 15.916 0.005
2455651.89602 15.92 0.005
2455652.75686 15.904 0.004
2455652.82016 15.916 0.004
2455652.86205 15.907 0.004
2455653.78546 15.904 0.004
2455653.91591 15.911 0.004
2455654.79018 15.897 0.005
2455654.83687 15.899 0.005
2455654.88106 15.903 0.004
2455655.73911 15.899 0.005
2455655.77821 15.901 0.005
2455655.81617 15.906 0.005
2455655.85696 15.899 0.004
2455655.90667 15.894 0.005
2455656.79861 15.885 0.004
2455656.83949 15.889 0.004
2455656.9259 15.883 0.006
2455657.78739 15.892 0.005
2455657.82837 15.889 0.004
2455657.87386 15.898 0.004
2455657.91824 15.886 0.005
2455658.78424 15.9 0.005
2455658.84127 15.882 0.005
2455658.87966 15.887 0.005
2455658.9208 15.888 0.005
2455659.73591 15.885 0.004
2455659.77355 15.891 0.005
2455659.81283 15.889 0.005
2455659.85515 15.891 0.006
2455659.90305 15.883 0.004
2455660.72711 15.885 0.005
2455660.77446 15.875 0.005
2455660.8178 15.875 0.005
2455660.87348 15.88 0.005
2455662.72618 15.866 0.005
2455662.76655 15.848 0.005
2455662.8283 15.858 0.005
2455662.86647 15.856 0.005
2455662.90842 15.863 0.005
2455663.76915 15.875 0.004
2455664.77181 15.86 0.006
2455664.81241 15.846 0.005
2455664.87281 15.862 0.005
2455664.91646 15.856 0.005
2455665.74045 15.847 0.005
2455665.78626 15.85 0.004
2455665.85061 15.848 0.005
2455665.89817 15.844 0.004
2455667.73285 15.839 0.005
2455667.78656 15.832 0.005
2455667.83832 15.839 0.004
2455667.89283 15.837 0.004
2455668.72037 15.852 0.005
2455668.77751 15.84 0.005
2455668.84401 15.828 0.005
2455668.89898 15.835 0.005
2455669.73716 15.825 0.005
2455669.73945 15.834 0.005
2455669.78756 15.832 0.005
2455669.83662 15.828 0.005
2455669.88841 15.829 0.005
2455670.72157 15.817 0.005
2455670.76133 15.818 0.005
2455670.82524 15.819 0.005
2455670.86611 15.813 0.005
2455670.90749 15.816 0.005
2455671.7435 15.808 0.005
2455675.70732 15.795 0.005
2455675.7458 15.778 0.005
2455675.78364 15.789 0.005
2455675.82449 15.789 0.005
2455675.89393 15.792 0.005
2455676.67183 15.795 0.003
2455676.71036 15.789 0.003
2455676.74948 15.794 0.004
2455676.78909 15.788 0.004
2455676.85366 15.788 0.004
2455676.89974 15.774 0.004
2455677.70123 15.765 0.004
2455677.74654 15.776 0.004
2455677.78796 15.781 0.004
2455677.83811 15.774 0.004
2455677.89048 15.788 0.004
2455679.6691 15.78 0.005
2455679.70973 15.781 0.004
2455679.75117 15.774 0.004
2455679.80327 15.775 0.004
2455679.85429 15.776 0.004
2455679.89461 15.772 0.004
2455680.65669 15.762 0.005
2455680.69573 15.765 0.005
